user_id,item_id,rating
185,681,3
215,336,2
282,311,5
163,376,3
398,257,11
274,681,0
209,108,7
382,782,6
274,217,0
359,431,5
189,510,14
351,916,11
162,106,7
337,292,3
209,744,7
171,170,0
172,641,3
230,38,1
58,608,7
431,925,10
107,378,12
151,512,0
1,49,3
416,230,7
432,769,14
104,497,11
311,382,9
127,578,10
390,218,5
116,346,7
366,512,0
248,336,3
449,85,3
107,388,10
288,642,5
328,234,11
203,638,6
129,543,13
493,512,1
139,213,7
92,643,4
160,529,13
175,579,11
74,745,9
61,795,11
61,797,8
325,378,9
150,882,1
310,589,0
309,168,9
59,281,10
377,70,3
101,276,4
284,472,7
137,70,3
324,84,11
498,154,2
188,344,10
192,652,13
199,757,0
445,807,5
334,377,1
400,225,5
307,565,7
438,169,0
455,297,4
427,134,9
319,912,13
334,709,10
328,195,2
383,394,10
167,678,3
417,899,10
411,226,8
254,543,15
409,378,8
474,78,10
198,804,5
230,731,10
431,123,8
67,339,5
309,523,9
162,713,4
301,58,10
273,124,15
256,909,2
100,65,5
357,599,12
151,784,0
182,91,14
158,224,11
77,699,7
436,554,7
178,245,11
78,809,10
318,942,8
178,130,3
255,926,3
194,354,6
137,324,1
86,555,12
87,715,11
496,797,1
203,690,11
107,727,9
397,945,13
110,748,6
176,698,6
428,285,8
286,65,8
208,805,6
449,365,15
310,870,0
160,75,9
170,779,4
288,333,2
109,272,7
241,698,10
265,816,8
293,217,8
305,154,11
429,224,12
208,718,13
86,713,6
440,718,14
130,942,6
414,665,7
366,99,0
257,926,4
225,773,7
194,967,0
413,346,6
331,283,9
203,680,10
368,507,3
200,627,0
252,752,6
65,186,6
85,408,8
266,719,2
386,892,5
429,605,7
384,339,3
294,606,11
309,649,1
88,560,8
99,121,9
226,702,9
186,695,10
58,473,9
228,687,13
203,538,15
59,736,7
286,820,5
181,926,6
341,822,13
285,350,6
272,729,15
127,504,7
62,195,2
460,443,3
270,180,10
248,188,7
260,577,11
177,202,10
202,122,0
327,861,9
323,687,9
276,414,10
173,646,3
368,116,2
304,523,11
262,986,0
94,837,10
139,268,11
189,738,5
424,503,12
401,851,9
400,804,6
395,350,15
127,746,7
109,485,14
206,97,5
341,839,7
398,625,14
180,710,6
81,690,9
177,788,2
168,235,5
167,771,6
62,355,10
314,19,0
226,311,7
386,365,8
436,524,2
209,316,4
467,112,6
155,202,9
261,541,7
329,878,10
316,266,10
211,759,1
83,973,1
348,183,6
