userID,itemID,genre,rating,date
FA8D7A,79CBAD,Techno,5.0,2012-03
FA8D7A,534A72,Techno,5.0,2012-03
FA8D7A,33E645,Techno,3.0,2012-03
6B011C,A48386,Rock,5.0,2012-04
7356C4,F0BBB2,Metal,5.0,2012-04
0C643A,F0BBB2,Metal,3.0,2012-04
86F28F,A48386,Rock,5.0,2012-04
5DC722,A48386,Rock,3.0,2012-04
06FDE1,A48386,Rock,5.0,2012-04
7EC18B,A48386,Rock,5.0,2012-04
0399E3,FFD2C2,Techno,5.0,2012-04
5D611F,EA2C5A,opera,3.0,2012-04
5BE3A4,F0BBB2,Metal,5.0,2012-04
5451A4,FFD2C2,Techno,4.0,2012-04
655047,A86F6B,Techno,4.0,2012-04
7350BC,A48386,Rock,4.0,2012-04
12226B,177889,Techno,4.0,2012-04
5D611F,4485EE,opera,4.0,2012-04
F64C41,A48386,Rock,5.0,2012-04
BB5571,A48386,Rock,4.0,2012-04
0399E3,A48386,Rock,5.0,2012-04
7EC18B,D0CB72,opera,2.0,2012-04
CE5D57,A48386,Rock,5.0,2012-04
8A5796,49AA3E,Zilin,4.0,2012-04
87402D,8970DC,Techno,5.0,2012-04
F67D13,04AADB,Rock,5.0,2012-04
B5CD50,04AADB,Rock,4.0,2012-04
655047,04AADB,Rock,5.0,2012-04
CB5651,6ED4C5,Rock,4.0,2012-04
FCACF1,C20ECA,Rock,5.0,2012-04
7A0B8E,2DFA24,Rock,5.0,2012-04
203541,A48386,Rock,4.0,2012-04
2DBD4B,E1DBE7,Classical,5.0,2012-04
10750C,A48386,Rock,5.0,2012-04
C0D27C,3480FF,Techno,5.0,2012-04
9BB9DE,A48386,Rock,5.0,2012-04
1BD614,A48386,Rock,5.0,2012-04
7356C4,D900CA,opera,1.0,2012-04
96BAD8,4770B8,Techno,4.0,2012-04
89BBD7,D900CA,opera,3.0,2012-04
C50BA0,A48386,Rock,5.0,2012-04
2944E1,D900CA,opera,5.0,2012-04
7A0B8E,49AA3E,Zilin,2.0,2012-04
A65D6D,A48386,Rock,5.0,2012-04
8F3A92,A48386,Rock,5.0,2012-04
