from,to
DEC368,B88A8B
D2092D,64A61B
78A51A,6E9A87
73BAE2,1E3801
582251,AD00AF
40E068,BCF196
5AE8FA,E97CEF
45B7B9,0BD22E
011C89,7CDFA1
E3CE85,73BAE2
F66120,DC9DAC
4C31B6,347041
CF572A,C886F4
FE04AB,0501BD
582251,B4D00C
300B58,7DCF56
C84C89,59A315
FE04AB,B0EB1C
746E5C,59D91C
BF1369,0CCE50
9CDFFF,CF572A
8C6C72,81BBDA
127A1A,4335E4
920A54,639FB4
746E5C,84D5CC
B858CF,0712D2
2A33A7,2655FA
7CDFA1,65551A
E60811,25A8BA
71BECA,9CD828
3BBC3F,1BC7FB
3B5F26,A94178
3BBC3F,F33CE6
DAAFA3,8C6C72
E49EAF,7A7E31
DA4788,7F20E4
211577,7210B9
300B58,F081E4
FE04AB,25A8BA
DA4788,526CD0
C84C89,761A61
5AE8FA,6A5276
9CD828,0C2767
979C02,D72224
0DF7B6,269B12
CFE627,406BA1
0D10F1,D8A675
8DB030,CF572A
1FC937,A0F191
4CABD7,920A54
70E548,0712D2
746E5C,0BCC52
1E3801,59D91C
F5660C,D9E692
4CABD7,2655FA
FDD16D,A3362E
45B7B9,76BE07
86C8AB,12D448
E3CE85,E79AE8
920A54,841486
4E53E3,923C73
70E548,63C191
3BBC3F,C764CA
E3CE85,38C931
300B58,C0FFF0
3B5F26,8A390E
0DF7B6,73BAE2
DA4788,DAAFA3
A2D673,E5A956
8C6C72,739659
920A54,AF742F
644CFC,16E7CD
7F2D82,862D2D
3836FA,73BAE2
8A6FEC,8AD7EF
C9C42A,D2092D
2655FA,B8390F
1FC937,C11871
86C8AB,4D1100
78A51A,73BAE2
78A51A,007EE1
45B7B9,AE9F30
6D7E66,139421
DEC368,A60EFC
6DC800,6A8B56
CFE627,2909EE
90702B,E97CEF
300B58,E5A956
705811,FB0C87
7F2D82,1BD1B5
38BDBC,C0FFF0
508520,148EAA
6D7E66,B0EB1C
4D837B,E5A956
D12BBC,449BC9
582251,E3826D
C9C469,59A315
DA4788,EA87F4
4E53E3,8C6C72
73BAE2,C7E1EB
BE44ED,DAAFA3
78A51A,F5660C
D58C2E,4DE87A
CF572A,2FA9EB
16E7CD,62E94E
BF1369,E60811
9DED68,E5A956
16E7CD,1487F0
8DB030,DC9DAC
B858CF,24159C
A2D673,9AC562
8F41AD,4CABD7
9AC562,DEA21E
4D1100,B8390F
A2D673,1FB1FA
CF572A,D7C75D
9CD828,03C173
71BECA,921DFF
644CFC,D2EB79
A2D673,70804F
3836FA,639FB4
649D27,B8390F
9CD828,935F2B
F5660C,6261FC
4FCCAD,6261FC
C887F9,1EA6A9
EB99E8,B8390F
582251,2BD2F9
0A5E3D,7F2D82
5DF9E1,51CEAE
127A1A,38BDBC
8F41AD,78ED78
38D4AC,73BAE2
D6F62C,16E7CD
45B7B9,91435D
D6F62C,787CA2
F5660C,16E7CD
8C6C72,78DE4F
78ED78,C9C42A
8C6C72,1E3801
A0F191,E60811
FE04AB,0A9D45
7F2D82,389330
C54209,BEFAD4
16E7CD,639FB4
4C8115,E73844
D2092D,953F22
300B58,4D1100
6A9872,1FB1FA
4E53E3,833507
8C6C72,C9C42A
16E7CD,DC9DAC
985842,0756B6
25A8BA,B8390F
979C02,D15825
A62C7D,DE4221
EAF257,862D2D
90702B,347041
4CABD7,8DB030
B858CF,3BBC3F
E6209B,6D7E66
582251,B47223
B55D61,C9C42A
23BBF8,7F2D82
746E5C,68615D
1E3801,79E0AC
DEC368,8A2800
16E7CD,1D4610
920A54,B858CF
F19EE0,67D977
DA4788,787CA2
16E7CD,D7B016
979C02,B55D61
26823C,3BEECE
71BECA,3F02B9
07E7F1,7CDFA1
A2D673,B858CF
7CDFA1,A0F191
7020BD,862D2D
3836FA,C9C42A
2C8F44,F58538
A2D673,7AA963
45B7B9,55FAAE
78A51A,CF572A
86DEAF,F58538
5AE8FA,EB30C4
C94E4A,7F20E4
AF742F,D8A675
830E97,DA3CEA
746E5C,9867E5
DAC29B,9468A1
D2092D,1C34BE
11DC2C,8C6C72
49E38C,96542A
6D7E66,099712
2909EE,A2D673
73BAE2,4E53E3
FAC175,D5B0EC
A3362E,FE3CF9
CF572A,C1E387
DAAFA3,1C61D0
73BAE2,62E94E
300B58,D8A675
830E97,2D60CD
582251,739659
644CFC,12E505
28D4C6,62E94E
920A54,2C8F44
BF01A5,28D4C6
28D4C6,C9C469
830E97,E60811
F5660C,E97CEF
4CABD7,2909EE
F19EE0,3836FA
3836FA,4A4624
9DED68,07FABF
16E7CD,68615D
96542A,B47223
D58C2E,DEA21E
0DF7B6,EB30C4
45B7B9,979C02
70E548,DE4C30
A2D673,3BBC3F
FE04AB,66BAED
28D4C6,A502A8
DA4788,47513A
45B7B9,AA5440
509333,2A7FBF
522742,44DAAF
6D7E66,0712D2
A6F33F,D5020B
127A1A,920A54
D2092D,CDED00
FBB564,12D448
16E7CD,1AE5E3
E49EAF,9CDFFF
16E7CD,1E3801
4FCCAD,78852B
78ED78,1E3801
649D27,D8A675
1FC937,D5B0EC
0DF7B6,DAAFA3
509333,832273
DA4788,B80FAA
D5B0EC,62E94E
CFE627,7CDFA1
211577,F04C1B
2C8F44,EE3561
9D1B99,011C89
0A5E3D,F5660C
C84C89,F04C1B
9D1B99,C74813
2E7A2B,375005
45B7B9,163AE2
CF572A,0D6E59
D2092D,0A5E3D
8F41AD,BDB828
79E0AC,32B771
8F41AD,2BD2F9
D8A675,E60811
D5B0EC,B0EB1C
A38DC8,8210BD
644CFC,AA1F3B
86C8AB,D7C75D
3836FA,E95ADB
CF572A,65551A
0D10F1,38BDBC
CF572A,B232B8
D58C2E,2A7FBF
B0EB1C,185BA0
979C02,438789
F58538,16E7CD
2E7A2B,CC26CC
28D4C6,7F2D82
522742,0D4254
E3CE85,1DC6CE
2909EE,73BAE2
16E7CD,644CFC
BE44ED,CBFEC2
A0F191,21C164
DAAFA3,16E7CD
4CABD7,1FC937
6D7E66,F58538
6B20B7,B4D00C
78ED78,011C89
C887F9,B0EB1C
03C173,7108D7
985842,8210BD
28D4C6,98C4D4
CC26CC,44DAAF
FE04AB,78ED78
D58C2E,7FD085
7CDFA1,53426B
78ED78,DC9DAC
F66120,6261FC
DAC29B,91438A
78A51A,2AED70
6D7E66,68615D
FAC175,D5020B
8221E6,81BBDA
E3CE85,CF572A
7F2D82,C9C42A
7CDFA1,2BD2F9
8AEBB1,3404E1
8F41AD,2C8F44
45B7B9,DF9903
029C32,639FB4
9CD828,0AE029
A38DC8,081054
3836FA,3F02B9
4D1100,6261FC
3B5F26,B58589
509333,A6D41A
0DF7B6,2909EE
F58538,1AE5E3
2909EE,300B58
A0F191,F3DB47
DEC368,65551A
979C02,B47223
8DB030,B0EB1C
2E7A2B,4C04DD
029C32,DAAFA3
7020BD,DA3CEA
40E068,E54F58
644CFC,E73844
E3CE85,5DFC3B
90702B,63A604
CF572A,9CDFFF
BE44ED,D05243
746E5C,D7B016
C887F9,2909EE
9AC562,0AE029
979C02,011C89
2E7A2B,0277A5
1FC937,D6F62C
6CEB19,BE44ED
49E38C,1FC937
58EFE4,309B18
07E7F1,C1E387
1F260B,A4F907
9AC562,28D4C6
830E97,91438A
D5B0EC,AD00AF
96542A,B0EB1C
76CE79,830E97
FAC175,03F1E3
86DEAF,1419FD
BE44ED,B88A8B
7F2D82,32B771
7CDFA1,AD00AF
461A1E,744D1D
9CDFFF,9CD828
830E97,E19C02
86DEAF,63C191
5E302B,2C70B4
C9C42A,4335E4
D6F62C,1FC937
C398B9,C7BAB1
45B7B9,C40D3F
649D27,920A54
8AEBB1,AEB16E
E3CE85,EE3561
D5B0EC,E8E3D2
FE04AB,6261FC
C9C42A,1FC937
3B5F26,3F02B9
2655FA,E49EAF
0A5E3D,415839
FE04AB,8F41AD
8221E6,F1FD80
9CD828,96542A
16E7CD,F58538
D12BBC,B0EB1C
D2092D,4DE87A
3BBC3F,FCF89D
4C8115,07FABF
F66120,B8390F
985842,2BD2F9
78A51A,D5020B
EAF257,EB41DB
78ED78,A2FE3D
746E5C,830E97
73BAE2,B858CF
705811,920A54
D12BBC,DAD695
8DB030,3A7FEE
71BECA,4CABD7
A0F191,7CFAAF
9CD828,C1B8EE
DA4788,1FB1FA
38BDBC,D954F4
78ED78,3A7FEE
B0EB1C,9519E5
A7F6E1,2A7FBF
B858CF,DAAFA3
9CD828,2655FA
03C173,CA4666
D2092D,87BD24
2909EE,A3362E
705811,9DED68
E60811,2BD2F9
AF742F,04FEF5
D6F62C,70804F
4FCCAD,62E94E
9CDFFF,D8A675
BE44ED,2C17CC
3836FA,9ADB07
5AE8FA,7D76DC
26823C,1F9E2D
D6F62C,D954F4
F66120,78852B
508520,809EF1
7CDFA1,16E7CD
1FC937,41A337
1644FB,0A5E3D
415839,5603DE
78ED78,4335E4
FE04AB,E54F58
71BECA,12D448
49E38C,6261FC
1F260B,016ECC
B0EB1C,65551A
4E53E3,21C164
CF572A,90D224
78ED78,0A5E3D
